statement,occurences,proposed label
 ventrikuläre extrasystole ( n ) sinusrhythmus av block i lagetyp normal linksschenkelblock xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal xxxx unbestätigter bericht edit norm xxxx rsiii qi avl ( norm xxxx ) ,1,
 vorhofflimmern - flattern lagetyp normal qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal t abnormal in anterioren ableitungen ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anterolateraler myokardschaden möglich t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp sonst normales ecg xxxx unbestätigter bericht edit norm xxxx qi avl ( norm xxxx ) ,1,
 sinustachykardie ueberdrehter linkstyp xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anterolateraler myokardschaden nicht auszuschliessen t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anterolateraler myokardschaden möglich t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,2,
 ventrikuläre extrasystole ( n ) trigeminus sinus arrhythmie lagetyp normal qrs ( t ) abnormal inferiorer myokardschaden möglich ,1,
 sinusrhythmus linkslagetyp normales ecg intraventr leitungsstörung avf v1 t - veränderungen flach in iii ,1,
 sinusrhythmus lagetyp normal r - s übergang in v ableitungen nach rechts verschoben st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbestätigter beric ,1,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt möglich inferiorer myokardschaden möglich xxxx unbestätigter bericht ,3,
 sr mlt av block i grenzbefund ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus av block i linkstyp flache t in iii avl v3 - xxxx neg t in v1 pathologisches ecg ,1,
 sinusrhythmus ueberdrehter linkstyp rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt alter unbest ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal periphere niederspannung unspezifische abnorme st - senkung unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,2,
 tachykardes vorhofflimmern lagetyp normal st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,2,
 sinus arrhythmie lagetyp normal unspezifische intraventrikuläre leitungsstörung unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp links - anteriorer fascicular block muskelzittern pathologisches ecg ,1,
 sinustachykardie ueberdrehter linkstyp t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 überdrehter linkstyp sinusarrhythmie vorhofs - es über xxxx - min bigeminie uniforme ves pathologisches ecg ,1,
 ruhe - ecg zum holter holter - beurteilung mehrheitlich normaocard bisbrdycarder sinusrhythmus sinus - rhythmus mit multiplen supraventrikulären und monotopen ventrikulären es insbesonderer in ruhe ,1,
 supraventrikuläre extrasystole ( n ) sinustachykardie linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal diskrete st - senkung in v4 - xxxx t flach in iii avf v1 ,1,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm anteroseptaler infarkt alter unbest st abnorm möglicherweise anteriorer innenschichtsschaden xxxx ,1,
 sinusrhythmus p - verbreiterung linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 g ventrikuläre extrasystole ( n ) tachykardes vorhofflimmern ueberdrehter linkstyp linksanteriorer fascicular block st abnormal möglicherweise lateraler innenschichtsschaden ,1,
 supraventrikuläre arrhythmie lagetyp normal r - s übergang in v ableitungen nach rechts verschoben st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung laterale ischämie oder linksbelastung inferiore ischämie oder linksbelastung xxxx ,1,
 sinusrhythmus linkstyp unvollständiger linksschenkelblock qrs ( t ) abnorm anterolateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp r - s übergang in v ableitungen nach rechts verschoben t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp partieller rechts - schenkelblock pathologisches ecg ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal qrs ( t ) abnorm inferiorer infarkt möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal qrs ( t ) abnormal anteroseptaler infarkt alter unbest st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung ,1,
 supraventrikuläre arrhythmie linkstyp linksschenkelblock xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal linkshypertrophie möglich qrs ( t ) abnormal anteroseptaler myokardschaden nicht auszuschliessen ,1,
 sinusbradykardie lagetyp normal periphere niederspannung flache t in iii avl wahrscheinlich normales ecg ,1,
 sinusbradykardie st linkshypertrophie möglich normales ecg ,1,
 sinustachykardie lagetyp normal ,2,
 sinustachykardie p - sinistrocardiale ueberdrehter linkstyp st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) trigeminus sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unvollständiger rechtsschenkelblock unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 vorhofflattern xxxx ueberleitung ueberdrehter linkstyp links ant fascicular block hyperkaliaemie pathologisch ,1,
 sinusbradykardie linkstyp lagetyp in anbetracht des alters abnorm unvollständiger rechtsschenkelblock linkshypertrophie möglich qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnormal fehlende r - progression v3 - xxxx pathologisch ,1,
 sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,1,
 regelmässiger rhythmus keine p - welle erkannt lagetyp normal linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal unspezifische intraventrikuläre leitungsstörung st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbestätigter beri ,1,
 sinusrhythmus linkstyp unspezifische abnorme st - senkung xxxx unbestätigter bericht ,2,
 sinusrhythmus schwierig bestimmbare qrs - achse periphere niederspannung unvollständiger rechtsschenkelblock ,1,
 ventrikuläre extrasystole ( n ) interponierte ventrikuläre extrasystole ( n ) sinusrhythmus av block i p - verbreiterung linkstyp qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,1,
 sinus arrhythmie lagetyp normal st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung qrs ( t ) abnormal inferiorer infarkt alter unbest ,1,
 av - knotenrhythmus lagetyp normal r - s übergang in v ableitungen nach rechts verschoben qrs ( t ) abnorm lateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinus arrhythmie ueberdrehter linkstyp linksanteriorer fascicular block qrs ( t ) abnorm anteroseptaler myokardschaden möglich ,1,
 sinus arrhythmie linkstyp unspezifisches abnormes t xxxx unbestätigter bericht ,2,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung t abnormal in inferolateralen ableitungen ,1,
 vorhofflattern mit meist xxxx ueberleitung mlt linkshypertrophie möglich ves st - hebung in v1 - xxxx verzögerte r - progression v1 - xxxx ,1,
 sinusrhythmus linkstyp unvollständiger rechtsschenkelblock unspezifisches abnormales t pathologisch ,1,
 sinus arrhythmie linkstyp st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung t abnorm in inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusbradykardie verdacht auf p - sinistrocardiale lagetyp normal ,1,
 interponierte supraventrikuläre extrasystole ( n ) sinusrhythmus av block i verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksschenkelblock xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp unspezifischer intraventrikulärer block qrs ( t ) abnorm anteriorer infarkt alter unbest inferiorer myokardschaden möglich xxxx ,1,
 sinusrhythmus av block i p - verbreiterung lagetyp normal qrs ( t ) abnorm anterolateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal linkshypertrophie qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i linkstyp unvollständiger linksschenkelblock qrs ( t ) abnormal anteriorer infarkt alter unbest st and t abnormal wahrscheinlich laterale ischämie oder linksbelastung ,1,
 vorhofflimmern - flattern lagetyp normal qrs ( t ) abnormal anteroseptaler myokardschaden nicht auszuschliessen st and t abnormal wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,1,
 sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,2,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block unspezifischer intraventrikulärer block qrs ( t ) abnorm anteriorer infarkt alter unbest xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie linkstyp qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp unspezifischer intraventrikulärer block ,1,
 sinus arrhythmie lagetyp normal t abnorm in inferolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal t flach in iii avf normales ecg ,1,
 sinusbradykardie p - verbreiterung lagetyp normal unvollständiger linksschenkelblock qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt t abnorm in hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus linkstyp qrs ( t ) abnorm anteriorer infarkt alter unbest inferiorer infarkt alter unbest t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusbradykardie linkstyp linksschenkelblock linkshypertrophie möglich xxxx unbestätigter bericht ,2,
 sinusrhythmus ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt alter unbest inferiorer infarkt alter unbest st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung t abnorm in anterioren ableitungen xxxx ,3,
 sinusrhythmus lagetyp normal st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung t abnormal in lateralen ableitungen edit injas injal ( injas isc_ ) ,1,
 tachykardes vorhofflimmern lagetyp normal qrs ( t ) abnorm anterolateraler infarkt möglich inferiorer infarkt alter unbest t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal periphere niederspannung sves vorhof partieller rechts - schenkelblock pathologisches ecg ,1,
 sinusrhythmus linkstyp mässige amplitudenkriterien f#r linkshypertrophie ,1,
 sinustachykardie lagetyp normal av - block i grades intraventr leitungsstörung in ii iiiavf chronisch anteriorer infarkt mögkich path ecg ,1,
 sinusrhythmus linkstyp intraventr leitungsstörung ii iii avf avl chronisch inferiorer infarkt möglich st - hebung in i ii iii avf path ecg ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm inferiorer infarkt alter unbest t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unspezifischer intraventrikulärer block qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 sinustachykardie lagetyp normal qrs ( t ) abnorm anterolateraler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp r - s übergang in v ableitungen nach rechts verschoben unvollständiger rechtsschenkelblock qrs ( t ) abnorm inferiorer myokardschaden möglich xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal unspezifische intraventrikuläre leitungsstörung mässige amplitudenkriterien für linkshypertrophie st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp periphere niederspannung qrs ( t ) abnormal inferiorer infarkt alter unbest ,1,
 sinusrhythmus av block i linkstyp chronisch inferiorer infarkt möglich intraventr leitungsstörung path ecg ,1,
 sinus arrhythmie verdacht auf p - sinistrocardiale lagetyp normal unvollständiger rechtsschenkelblock ,1,
 sinusrhythmus linkstyp periphere niederspannung t abnormal in anteroseptalen ableitungen ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie lagetyp normal mässige amplitudenkriterien für linkshypertrophie st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinustachykardie ueberdrehter linkstyp linksanteriorer fascicular block linkshypertrophie intraventr leitungsstörung in v4 verzögerte r - progression in v1 - v4 path ecg ,1,
 g tachykardes vorhofflimmern lagetyp normal st abnormal möglicherweise hochlateraler innenschichtsschaden inferiorer innenschichtsschaden ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer myokardschaden möglich st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx ,1,
 ventrikuläre extrasystole ( n ) bigeminus sinus arrhythmie lagetyp normal unspezifisches abnormes t xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern linkstyp st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter rechtstyp periphere niederspannung rechtshypertrophie möglich qrs ( t ) abnorm anterolateraler infarkt möglich inferiorer infarkt wahrscheinlich alt xxxx unbestätig ,1,
 ventrikuläre extrasystole ( n ) bigeminus sinus arrhythmie ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt alter unbest t abnorm in anterioren ableitungen lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstörung t lateral und vw sehr flach grenzbefund ,1,
 interponierte supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal sonst normales ecg ,1,
 sinusrhythmus lagetyp normal uniforme ventr es diskrete st - hebung in v1 - v3 t hoch in v2 v3 verzögeerte r - progression in v1 - v4 grenzbefund ,1,
 sinusbradykardie verdacht auf p - sinistrocardiale lagetyp normal unspezifische intraventrikuläre leitungsstörung t abnorm in inferioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt t abnorm in anterioren ableitungen hochlateralen ableitungen xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie verdacht auf p - sinistrocardiale lagetyp normal qrs ( t ) abnorm inferiorer infarkt alter unbest st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx u ,1,
 ventrikuläre extrasystole ( n ) vorhofflimmern - flattern lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung inferolaterale isc ,1,
 sinustachykardie ueberdrehter linkstyp r - s übergang in v ableitungen nach links verschoben linksanteriorer fascicular block qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal rechtsschenkelblock qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm inferiorer infarkt alter unbest st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale linkstyp qrs ( t ) abnorm inferiorer infarkt alter unbest st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,2,
 sinusrhythmus linkstyp qrs ( t ) abnorm lateraler myokardschaden nicht auszuschliessen xxxx unbestätigter bericht ,1,
 sinusrhythmus p - verbreiterung lagetyp normal unspezifische intraventrikuläre leitungsstörung st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx unbestät ,1,
 sinusrhythmus lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt alter unbest t abnorm in anterioren ableitungen lateralen ableitungen xxxx unbestätigter bericht ,4,
 sinusrhythmus av block i p - verbreiterung ueberdrehter linkstyp st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 tachykardes vorhofflimmern linkstyp linksschenkelblock xxxx unbestätigter bericht ,1,
 sinusrhythmus schwierig bestimmbare qrs - achse periphere niederspannung rechtshypertrophie möglich qrs ( t ) abnorm anterolateraler infarkt möglich inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp t abnorm in anterioren ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus av block i linkstyp qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestä ,1,
 sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp unvollständiger rechtsschenkelblock st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt wahrscheinlich alt st and t abnorm wahrscheinlich anterolaterale ischämie oder linksbelastung xxxx ,1,
 sinus arrhythmie p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block xxxx unbestätigter bericht ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen t abnorm in lateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock sonst normales ecg xxxx unbestätigter bericht edit irbbb ( asmi xxxx aneur xxxx irbbb ) ,1,
 vorhofflimmern - flattern lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler myokardschaden nicht auszuschliessen st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung xxxx ,1,
 sinusrhythmus p - sinistrocardiale lagetyp normal qrs ( t ) abnorm anteroseptaler infarkt alter unbest inferiorer infarkt wahrscheinlich alt t abnorm in anterolateralen ableitungen xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp unvollständiger rechtsschenkelblock mässige amplitudenkriterien für linkshypertrophie st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) sinus arrhythmie p - sinistrocardiale rechtstyp periphere niederspannung qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal unspezifische intraventrikuläre leitungsstörung st abnorm möglicherweise inferolateraler innenschichtsschaden xxxx unbestätigter bericht edit injil xxxx ( iscil ) ,1,
 sinusrhythmus p - sinistrocardiale ueberdrehter linkstyp qrs ( t ) abnorm lateraler myokardschaden möglich xxxx unbestätigter bericht ,1,
 ventrikuläre extrasystole ( n ) supraventrikuläre ersatzsystole ( n ) sinusrhythmus verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block xxxx unbestätigter bericht ,1,
 sinusrhythmus linkstyp qrs ( t ) abnorm anteroseptaler myokardschaden möglich ,1,
 interponierte supraventrikuläre extrasystole ( n ) sinusrhythmus lagetyp normal sonst normales ecg xxxx unbestätigter bericht ,1,
 supraventrikuläre arrhythmie lagetyp normal unspezifisches abnormes t xxxx unbestätigter bericht ,3,
 sinusrhythmus av block i verdacht auf p - sinistrocardiale linkstyp unspezifisches abnormes t qt - verlängerung xxxx unbestätigter bericht ,1,
 sinusbradykardie rechtstyp qrs ( t ) abnorm hochlateraler myokardschaden nicht auszuschliessen st and t abnorm wahrscheinlich inferiore ischämie oder linksbelastung xxxx unbestätigter bericht ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp periphere niederspannung rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal normales ecg edit norm xxxx tachykardie ( norm xxxx ) ,1,
 supraventrikuläre tachykardie lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
 beschleunigter av - rhythmus lagetyp normal periphere niederspannung qrs ( t ) abnorm anteroseptaler infarkt alter unbest xxxx unbestätigter bericht ,1,
 vorhofflimmern - flattern lagetyp normal mässige amplitudenkriterien für linkshypertrophie qrs ( t ) abnorm hochlateraler infarkt möglich st and t abnorm wahrscheinlich laterale ischämie oder linksbelastung inferolaterale ischämie oder linksbelastung ,1,
 sinusrhythmus lagetyp normal rechtsschenkelblock st - senkung in i ii avl v5 - xxxx hohes t in v6 p flach in allen ableitungen ,1,
 sinusrhythmus ueberdrehter linkstyp unspezifische intraventrikuläre leitungsstörung ,1,
 sinusrhythmus lagetyp normal unvollständiger rechtsschenkelblock p biphasisch in v1 - xxxx st - hebung in v3 - xxxx t hoch in v3 - xxxx schlechte r - progression ,1,
 sinusrhythmus lagetyp normal unspezifischer intraventrikulärer block linkshypertrophie lsb st - hebung in v2 - xxxx t neg in v5 - xxxx iii avf ,1,
 sinusrhythmus linkstyp sonst normales ecg intraventr leitungstörung in iii avf ,1,
 sinusrhythmus av block i lagetyp normal intraventr leitungsstörung in iii avl grenzbefund ,1,
 sinusrhythmus p - verbreiterung lagetyp normal amplitudenkriterien f#r linkshypertrophie ,1,
 sinusrhythmus schwierig bestimmbare qrs - achse t abnorm in hochlateralen ableitungen ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstörung q in i avl auffallend hohes r in v1 v2 normales ecg ,1,
 sinusrhythmus lagetyp normal mulitforme ves verzögerte r - progression über vorderwand ,1,
 sinusrhythmus linkstyp t - veraenderungen schlechte r - progression grenzbefund ,1,
 p wave axis is abnormal rhythm is probably junctional otherwise normal ecg ,1,
 sinusrhythmus vorhofsüberlastung beidseits linkstyp chron inferiorer infarkt möglich st - senkung in v3 - xxxx ,1,
 sinusrhythmus av block i ueberdrehter linkstyp ventr extrasystolen multiform xxxx - er salve anter fascicular block links intraventr leitungsstoerung iii l f v1 infarkt inferior chronisch moeglich ,1,
 sinusrhythmus mlt links neg t in v1 grenzbefund ,1,
 sinusrhythmus neg t in iii v1 - xxxx ueberdrehter linkstyp linksanteriorer fascicular block vollstaendiger rechtsschenkelblock pathologisches ecg ,1,
 sinusrhythmus lagetyp normal st - hebung in v2 t hoch in v3 ,1,
 llt sinusbradikardie av block xxxx grades verzögerte r - progression in v1 - xxxx biphas t in v1 pathologisches ecg ,1,
 t wave now low or flat in limb leads and v3 - xxxx myocardial ischaemia is likely suggest exclude hypokalaemia ,1,
 sinustachykardie lagetyp normal hoch in v2 xxxx pathologisches ecg ,1,
 sinusrhythmus lagetyp normal intermittierender lsb ,1,
 llt sinusbradykardie neg t in iii v1 wahrscheinlich normales ecg ,1,
 sinusrhythmus lagetyp normal intraventr leitungsstoerung avl v1 ecg normal ,1,
 sinusrhythmus linkstyp st abnorm möglicherweise anterolateraler innenschichtsschaden xxxx unbestätigter bericht ,1,
 sinusrhythmus lagetyp normal st - hebung in v1 - xxxx t biphasisch in iii avf v5 - xxxx ,1,
 sinusrhythmus verdacht auf p - sinistrocardiale linkstyp unvollständiger rechtsschenkelblock st and t abnorm wahrscheinlich hochlaterale ischämie oder linksbelastung ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus linkstyp periphere niederspannung qrs ( t ) abnormal anteroseptaler myokardschaden nicht auszuschliessen ,1,
 sinusrhythmus llt rechts normales ecg ,1,
 sinusrhythmus linkstyp st - hebung v1 - xxxx t - veränderungen neg lll v2 - xxxx wahrscheinlich normales ecg ,1,
 vorhofflimmern - flattern ueberdrehter linkstyp linksanteriorer fascicular block unvollständiger rechtsschenkelblock qrs ( t ) abnormal anteroseptaler myokardschaden möglich t abnormal in hochlateralen ableitungen ,1,
 ventrikuläre extrasystole ( n ) sinusrhythmus linkstyp qrs ( t ) abnormal inferiorer infarkt alter unbest st and t abnormal wahrscheinlich anteriore ischämie oder linksbelastung laterale ischämie oder linksbelastung ,1,
 sinusrhythmus llt st - hebung in v1 - xxxx st - senkung in ii iii avf pathologisches ecg ,1,
 ventrikuläre es intraventr leitungsstoerung f sinusrhythmus path repolisation u - we - le v2 - v6 wahrscheinlich normales ecg ,1,
 sinusrhythmus linkstyp ,2,
 sinusbradykardie verdacht auf p - sinistrocardiale ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block qrs ( t ) abnorm anteroseptaler infarkt wahrscheinlich alt inferiorer infarkt möglich xxxx ,1,
 sinusrhythmus ueberdrehter linkstyp schenkelblock links ant fascicular block t - veränderungen avl pathologisches ecg ,1,
 sinusrhythmus linkstyp qrs ( t ) abnormal anteriorer infarkt alter unbest inferiorer infarkt alter unbest t abnormal in lateralen ableitungen ,2,
 sinusrhythmus p - verbreiterung lagetyp normal qrs ( t ) abnormal inferiorer infarkt wahrscheinlich alt ,3,
 supraventrikuläre extrasystole ( n ) sinusrhythmus ueberdrehter linkstyp linksanteriorer fascicular block rechtsschenkelblock bifaszikulärer block ,2,
 sinusrhythmus lagetyp normal st and t abnorm wahrscheinlich anteriore ischämie oder linksbelastung t abnorm in inferolateralen ableitungen ,1,
 sinusrhythmus llt rechts partieller rechtsschenkelblock moeglich wahrscheinlich normales ecg ,1,
 supraventrikuläre extrasystole ( n ) sinusrhythmus llt st - hebung in v1 v2 st - senkung in i ii avf v4 - v6 neg praeterminale t - veraenderungen in v4 - v6 pathologisches ecg ,1,
 sinusrhythmus ueberdrehter linkstyp unvollständiger rechtsschenkelblock qrs ( t ) abnorm inferiorer infarkt wahrscheinlich alt xxxx unbestätigter bericht ,1,
